Timestamp,Event_Type,Key_Button,X,Y,Action
1770557938.7947373,Mouse,Move,1240,648,Move
1770557939.931718,Mouse,Move,1239,648,Move
1770557939.9387057,Mouse,Move,1239,648,Move
1770557939.9487004,Mouse,Move,1239,647,Move
1770557939.9607065,Mouse,Move,1239,647,Move
1770557939.9706998,Mouse,Move,1238,647,Move
1770557940.0106997,Mouse,Move,1238,646,Move
1770557940.0126932,Mouse,Move,1238,646,Move
1770557940.0587032,Mouse,Move,1238,646,Move
1770557940.0707018,Mouse,Move,1238,646,Move
1770557940.0776985,Mouse,Move,1238,646,Move
1770557940.0807009,Mouse,Move,1238,646,Move
1770557940.0897062,Mouse,Move,1238,646,Move
1770557940.0977004,Mouse,Move,1238,646,Move
1770557940.4597669,Mouse,Move,1237,646,Move
1770557940.4666843,Mouse,Move,1237,646,Move
1770557940.5007577,Mouse,Move,1237,645,Move
1770557940.5087063,Mouse,Move,1237,645,Move
1770557940.5817058,Mouse,Move,1237,645,Move
1770557940.9936857,Mouse,Move,1236,645,Move
1770557940.9977007,Mouse,Move,1236,644,Move
1770557941.017697,Mouse,Move,1236,643,Move
1770557941.0247047,Mouse,Move,1236,643,Move
1770557941.0487013,Mouse,Move,1236,643,Move
1770557941.0977046,Mouse,Move,1235,643,Move
1770557941.1166956,Mouse,Move,1235,642,Move
1770557941.1487358,Mouse,Move,1235,642,Move
1770557941.1557114,Mouse,Move,1234,642,Move
1770557941.1897874,Mouse,Move,1234,641,Move
1770557941.2026856,Mouse,Move,1234,641,Move
1770557941.217692,Mouse,Move,1234,641,Move
1770557941.278685,Mouse,Move,1233,641,Move
1770557941.3246899,Mouse,Move,1233,640,Move
1770557944.4047143,Mouse,Move,1233,639,Move
1770557944.4146965,Mouse,Move,1233,639,Move
1770557944.4267209,Mouse,Move,1233,639,Move
1770557944.4337153,Mouse,Move,1233,638,Move
1770557944.4457073,Mouse,Move,1233,638,Move
1770557944.4606988,Mouse,Move,1232,638,Move
1770557944.469743,Mouse,Move,1232,637,Move
1770557944.487696,Mouse,Move,1232,637,Move
1770557944.4917016,Mouse,Move,1232,637,Move
1770557944.570703,Mouse,Move,1232,636,Move
1770557944.9517686,Mouse,Move,1231,636,Move
1770557944.9597213,Mouse,Move,1231,636,Move
1770557944.9717114,Mouse,Move,1230,636,Move
1770557944.9877136,Mouse,Move,1230,636,Move
1770557945.0087051,Mouse,Move,1229,636,Move
1770557945.0147045,Mouse,Move,1229,636,Move
1770557945.0266967,Mouse,Move,1228,636,Move
1770557945.036687,Mouse,Move,1228,636,Move
1770557945.0497024,Mouse,Move,1227,636,Move
1770557945.0567079,Mouse,Move,1226,636,Move
1770557945.066703,Mouse,Move,1226,636,Move
1770557945.0767918,Mouse,Move,1225,636,Move
1770557945.0807173,Mouse,Move,1225,636,Move
1770557945.0947158,Mouse,Move,1224,637,Move
1770557945.0997093,Mouse,Move,1224,637,Move
1770557945.103717,Mouse,Move,1224,637,Move
1770557945.1087096,Mouse,Move,1223,637,Move
1770557945.1186957,Mouse,Move,1222,637,Move
1770557945.1267018,Mouse,Move,1222,637,Move
1770557945.1346977,Mouse,Move,1221,637,Move
1770557945.1476994,Mouse,Move,1221,637,Move
1770557945.1512668,Mouse,Move,1221,638,Move
1770557945.1576993,Mouse,Move,1220,638,Move
1770557945.1807046,Mouse,Move,1220,638,Move
1770557945.2040963,Mouse,Move,1219,638,Move
1770557945.2386851,Mouse,Move,1218,638,Move
1770557945.2557216,Mouse,Move,1218,638,Move
1770557945.260703,Mouse,Move,1218,638,Move
1770557945.2677062,Mouse,Move,1217,638,Move
1770557945.2947557,Mouse,Move,1217,638,Move
1770557945.3047225,Mouse,Move,1216,638,Move
1770557945.3317091,Mouse,Move,1216,638,Move
1770557945.3376973,Mouse,Move,1215,638,Move
1770557945.3567283,Mouse,Move,1214,638,Move
1770557945.3587248,Mouse,Move,1214,639,Move
1770557945.371706,Mouse,Move,1214,639,Move
1770557945.3857517,Mouse,Move,1213,639,Move
1770557945.397702,Mouse,Move,1213,640,Move
1770557945.4017005,Mouse,Move,1213,640,Move
1770557945.4157193,Mouse,Move,1212,640,Move
1770557945.4287055,Mouse,Move,1212,640,Move
1770557945.4357212,Mouse,Move,1212,640,Move
1770557945.441312,Mouse,Move,1211,640,Move
1770557945.451037,Keyboard,j,0,0,Press
1770557945.4537199,Mouse,Move,1210,640,Move
1770557945.4587398,Mouse,Move,1210,641,Move
1770557945.4697015,Mouse,Move,1210,641,Move
1770557945.476705,Mouse,Move,1209,641,Move
1770557945.4797275,Mouse,Move,1209,641,Move
1770557945.4846966,Mouse,Move,1209,641,Move
1770557945.4917102,Mouse,Move,1208,641,Move
1770557945.4987025,Mouse,Move,1208,642,Move
1770557945.5007005,Mouse,Move,1208,642,Move
1770557945.5067027,Mouse,Move,1207,642,Move
1770557945.5166993,Mouse,Move,1206,642,Move
1770557945.5227137,Mouse,Move,1206,642,Move
1770557945.5237,Mouse,Move,1206,642,Move
1770557945.5307088,Mouse,Move,1205,642,Move
1770557945.5376883,Mouse,Move,1205,643,Move
1770557945.547743,Mouse,Move,1204,643,Move
1770557945.5597107,Mouse,Move,1204,643,Move
1770557945.5657113,Mouse,Move,1203,644,Move
1770557945.5707004,Mouse,Move,1203,644,Move
1770557945.5797036,Mouse,Move,1202,644,Move
1770557945.5871737,Keyboard,y,0,0,Press
1770557945.5887783,Mouse,Move,1201,644,Move
1770557945.597733,Mouse,Move,1201,644,Move
1770557945.613688,Mouse,Move,1200,644,Move
1770557945.6286893,Mouse,Move,1200,644,Move
1770557945.6417086,Mouse,Move,1200,644,Move
1770557945.6426885,Mouse,Move,1199,644,Move
1770557945.647698,Mouse,Move,1199,644,Move
1770557945.6537256,Mouse,Move,1199,643,Move
1770557945.6557133,Mouse,Move,1198,643,Move
1770557945.6606953,Mouse,Move,1198,643,Move
1770557945.6627192,Mouse,Move,1197,643,Move
1770557945.6666954,Mouse,Move,1197,642,Move
1770557945.6686974,Mouse,Move,1197,642,Move
1770557945.6727266,Mouse,Move,1197,642,Move
1770557945.674737,Mouse,Move,1196,642,Move
1770557945.6797168,Mouse,Move,1196,642,Move
1770557945.6807098,Mouse,Move,1196,641,Move
1770557945.6829379,Keyboard,j,0,0,Press
1770557945.6887033,Mouse,Move,1196,641,Move
1770557945.690674,Mouse,Move,1195,641,Move
1770557945.6957235,Mouse,Move,1195,640,Move
1770557945.6967032,Mouse,Move,1195,640,Move
1770557945.7016928,Mouse,Move,1195,639,Move
1770557945.7057128,Mouse,Move,1194,639,Move
1770557945.7157524,Mouse,Move,1193,639,Move
1770557945.7177572,Mouse,Move,1193,639,Move
1770557945.7307026,Mouse,Move,1193,639,Move
1770557945.7336915,Mouse,Move,1193,638,Move
1770557945.7873445,Keyboard,y,0,0,Press
1770557945.8991754,Keyboard,j,0,0,Press
1770557945.930945,Keyboard,y,0,0,Press
1770557946.2617188,Mouse,Move,1192,638,Move
1770557946.2677054,Mouse,Move,1192,638,Move
1770557946.2686915,Mouse,Move,1191,638,Move
1770557946.273686,Mouse,Move,1191,638,Move
1770557946.2747345,Mouse,Move,1190,638,Move
1770557946.2757134,Mouse,Move,1189,638,Move
1770557946.2777243,Mouse,Move,1189,638,Move
1770557946.2797287,Mouse,Move,1188,638,Move
1770557946.2807221,Mouse,Move,1188,638,Move
1770557946.2827175,Mouse,Move,1187,638,Move
1770557946.2846947,Mouse,Move,1187,638,Move
1770557946.2857003,Mouse,Move,1186,638,Move
1770557946.286722,Mouse,Move,1185,638,Move
1770557946.2884974,Mouse,Move,1185,638,Move
1770557946.2888079,Mouse,Move,1184,638,Move
1770557946.2907195,Mouse,Move,1184,638,Move
1770557946.2916965,Mouse,Move,1183,638,Move
1770557946.2926958,Mouse,Move,1183,638,Move
